"V1" "V2"
"b_0" 1.00038347182298 10564
"b_juld" 1.00081541863154 2992
"b_temp" 1.00721496552557 890
"b_temp2" 1.00712880583164 897
"b_dis" 1.0007799948339 3051
"b_trans" 1.00009227118598 23536
"a_yr1" 1.00005188600864 36351
"a_yr2" 1.00006992860841 26963
"a_yr3" 0.999972060019759 40000
"a_yr4" 1.00002733609913 40000
"a_yr5" 1.00002802133165 40000
"a_yr6" 1.00018713675014 16079
"a_yr7" 1.00008830580697 23486
"a_yr8" 1.00021449481611 13230
"a_yr9" 1.00058618586853 7000
"a_yr10" 1.00057857709467 7123
"a_yr11" 1.00024625902726 13078
"a_yr12" 1.00037337575095 9452
"a_yr13" 1.00019188018022 16827
"a_yr14" 1.00018526010815 12631
"a_yr15" 1.00021149654221 9888
"p1" 1.00003609332945 40000
"phi2p3" 0.999969394107688 40000
"g_0" 1.00219877189182 1318
"g_1" 1.00217598913268 1291
"sigma_yr" 1.0004772775652 5272
"deviance" 1.0000280471537 40000
